member,epoch,train_log_prob,val_log_prob
2,57,8.002536,6.133408
2,58,8.048704,5.857163
2,59,8.060347,5.836155
2,60,8.082214,5.877002
2,61,8.089139,5.877658
2,62,8.108167,5.802072
2,63,8.112745,5.587974
2,64,8.115687,5.729002
3,0,0.110349,1.960512
3,1,2.395174,2.913809
3,2,3.123437,3.182989
3,3,3.649362,3.903635
3,4,4.198825,4.426680
3,5,4.682943,4.915260
3,6,5.165885,5.401201
3,7,5.429818,5.476159
3,8,5.620453,5.731027
3,9,5.778000,5.770303
3,10,5.847746,5.619987
3,11,5.961279,5.764528
3,12,6.079016,5.819711
3,13,6.120083,5.787396
3,14,6.213129,6.025990
3,15,6.359352,5.902598
3,16,6.427513,5.962499
3,17,6.452906,6.067346
3,18,6.556346,5.968543
3,19,6.433743,6.038361
3,20,6.609555,6.149282
3,21,6.687888,5.932567
3,22,6.706837,6.286127
3,23,6.733715,6.332644
3,24,6.849555,6.243944
3,25,6.863003,6.416755
3,26,6.902682,6.077173
3,27,6.870089,6.402050
3,28,7.011909,6.318452
3,29,7.019432,6.197336
3,30,6.989278,6.372430
3,31,7.129801,6.345681
3,32,7.218751,6.386591
3,33,7.195195,6.195781
3,34,7.091165,6.480187
3,35,7.266933,6.540119
3,36,7.267908,6.421954
3,37,7.277013,6.345877
3,38,7.368582,6.437993
3,39,7.432379,6.526931
3,40,7.483292,6.437679
3,41,7.485933,6.384523
3,42,7.498028,6.370097
3,43,7.572335,6.486117
3,44,7.550812,6.594073
3,45,7.582262,6.148143
3,46,7.567684,6.435274
3,47,7.572529,6.307850
3,48,7.671130,6.580884
3,49,7.722975,6.414364
3,50,7.781066,6.355848
3,51,7.652589,6.250597
3,52,7.622896,6.323902
3,53,7.752190,6.461599
3,54,7.750582,6.627324
3,55,7.869618,6.709495
3,56,7.863899,6.444277
3,57,7.857411,6.360116
3,58,7.861589,6.488763
3,59,7.924187,6.338243
3,60,7.898457,6.378739
3,61,7.859813,6.337716
3,62,7.983259,6.154454
3,63,8.003792,6.409688
3,64,7.953891,6.559664
3,65,8.047743,6.400486
3,66,8.098687,6.545343
3,67,8.142219,6.293010
3,68,8.181599,6.503406
3,69,8.197655,6.328053
3,70,8.246084,6.431218
3,71,8.321156,6.509603
3,72,8.320294,6.227995
3,73,8.339921,6.270183
3,74,8.356273,6.124038
